"","PlayerName","pos","points","value"
"1","Jamaal Charles","rb",236.975,63.9573166359224
"2","LeSean McCoy","rb",235.935,63.2385548015587
"3","Peyton Manning","qb",362.408,61.0981649928814
"4","Adrian Peterson","rb",222.175,53.7287828392085
"5","Calvin Johnson","wr",149.53,52.0977463689217
"6","Demaryius Thomas","wr",147.28,50.5427327849618
"7","Jimmy Graham","te",136.415,50.2559191683647
"8","Aaron Rodgers","qb",345.22,49.2192434457248
"9","Matt Forte","rb",214.55,48.4590145824556
"10","Drew Brees","qb",337.03,43.5589940001108
"11","Eddie Lacy","rb",205.49,42.1974932177104
"12","Julio Jones","wr",132.785,40.524989718518
"13","Dez Bryant","wr",132.5,40.3280213312164
"14","A.J. Green","wr",128.76,37.7432431961009
"15","Brandon Marshall","wr",127.405,36.8067794599828
"16","Marshawn Lynch","rb",194.285,34.4535255695902
"17","Jordy Nelson","wr",122.33,33.2993599317178
"18","Julius Thomas","te",111.29,32.8916008141461
"19","Alshon Jeffery","wr",120.925,32.3283403381784
"20","Montee Ball","rb",189.75,31.3193093014755
"21","DeMarco Murray","rb",187.68,29.8886968042324
"22","Alfred Morris","rb",186.91,29.356536599944
"23","Antonio Brown","wr",116.37,29.1803017270952
"24","Le'Veon Bell","rb",186.64,29.1699349698688
"25","Doug Martin","rb",184.775,27.8810014880531
"26","Rob Gronkowski","te",102.785,27.0136494667777
"27","Randall Cobb","wr",113.055,26.8892483800609
"28","Arian Foster","rb",183.255,26.8305034224447
"29","Zac Stacy","rb",181.435,25.5726702123082
"30","Vernon Davis","te",98.325,23.931266984795
"31","Larry Fitzgerald","wr",108.44,23.6997427400721
"32","Colin Kaepernick","qb",307.672,23.2691767566024
"33","Vincent Jackson","wr",106.935,22.6596114316901
"34","Stephen Gostkowski","k",180.7,22.631966745753
"35","Giovani Bernard","rb",175.75,21.6436692235029
"36","Cordarrelle Patterson","wr",104.19,20.762494859259
"37","Matthew Stafford","qb",303.47,20.3651024989137
"38","Michael Crabtree","wr",102.475,19.5772289497074
"39","Keenan Allen","wr",101.67,19.020879645224
"40","Toby Gerhart","rb",170.75,18.1880834813699
"41","Wes Welker","wr",99.515,17.5315221903646
"42","Andre Johnson","wr",99.155,17.282720016931
"43","Nick Foles","qb",298.804,17.1403498843552
"44","Percy Harvin","wr",98.77,17.0166399147868
"45","Andrew Luck","qb",296.91,15.8313740052351
"46","Robert Griffin III","qb",296.744,15.7166485585963
"47","Pierre Garcon","wr",95.925,15.050411627513
"48","Phil Dawson","k",169.3,14.7532312536896
"49","Roddy White","wr",95.485,14.7463200822053
"50","Michael Floyd","wr",95.37,14.6668416101363
"51","Victor Cruz","wr",94.99,14.4042170937342
"52","Cam Newton","qb",294.292,14.0220293106543
"53","Justin Tucker","k",167.8,13.7165555310497
"54","DeSean Jackson","wr",92.895,12.9563266677804
"55","Jason Witten","te",81.545,12.3343212341965
"56","Bishop Sankey","rb",161.115,11.5291697562795
"57","Steven Hauschka","k",163.9,11.0211986521859
"58","Ryan Mathews","rb",160.04,10.7862188217209
"59","Adam Vinatieri","k",163.5,10.7447517928152
"60","Torrey Smith","wr",89.65,10.7136515211361
"61","Dennis Pitta","te",78.79,10.4302934902811
"62","Jordan Cameron","te",78.4,10.1607578023948
"63","Mason Crosby","k",162,9.70807607017532
"64","Frank Gore","rb",158.265,9.55948588326362
"65","Jordan Reed","te",77.14,9.28995019537722
"66","Jeremy Maclin","wr",87.145,8.98240306432739
"67","Matt Ryan","qb",286.902,8.91467358378157
"68","Kyle Rudolph","te",76.435,8.80271260573646
"69","Andre Ellington","rb",156.35,8.23599654402666
"70","Mike Wallace","wr",86.065,8.23599654402664
"71","Dan Bailey","k",159.4,7.91117148426613
"72","Ty Hilton","wr",85.48,7.83169301219708
"73","Matt Prater","k",159.1,7.70383633973814
"74","Emmanuel Sanders","wr",85.17,7.61744669618483
"75","Julian Edelman","wr",85.035,7.52414588114724
"76","Marques Colston","wr",84.785,7.35136659404059
"77","Nick Novak","k",158.5,7.28916605068218
"78","Greg Olsen","te",73.835,7.00580801982727
"79","Golden Tate","wr",84.225,6.96434099092167
"80","Tom Brady","qb",283.894,6.83579320131433
"81","Shayne Graham","k",156.4,5.83782003898629
"82","Matt Bryant","k",156.4,5.83782003898629
"83","C.J. Spiller","rb",151.145,4.63873178646613
"84","Eric Decker","wr",80.235,4.2067835686995
"85","Terrance Williams","wr",79.4,3.62970074976327
"86","Stevan Ridley","rb",149.235,3.3186980329713
"87","Zach Ertz","te",68.24,3.13900757438036
"88","Sammy Watkins","wr",78.63,3.09754054547478
"89","Kendall Wright","wr",78.155,2.76925989997213
"90","Rashad Jennings","rb",147.87,2.37532312536897
"91","Trent Richardson","rb",146.24,1.24880217343359
"92","Tony Romo","qb",275.45,1
"93","Robbie Gould","k",149.4,1
"94","Ray Rice","rb",145.88,1
"95","Tavon Austin","wr",75.595,1
"96","Martellus Bennett","te",65.145,1
