"","PlayerName","pos","points","value"
"1","Peyton Manning","qb",453.208,91.364098301982
"2","Aaron Rodgers","qb",420.02,75.893673681153
"3","Drew Brees","qb",416.63,74.3134416857146
"4","Matthew Stafford","qb",370.87,52.982640472953
"5","Colin Kaepernick","qb",359.872,47.8559763178404
"6","Nick Foles","qb",358.004,46.9852172123894
"7","Jamaal Charles","rb",236.975,43.4634907446793
"8","LeSean McCoy","rb",235.935,42.9786998080256
"9","Andrew Luck","qb",348.51,42.559635334899
"10","Matt Ryan","qb",346.702,41.7168449373318
"11","Tom Brady","qb",345.094,40.9672835660443
"12","Robert Griffin III","qb",343.944,40.4312166649368
"13","Cam Newton","qb",338.092,37.7033353559971
"14","Tony Romo","qb",337.85,37.5905282341988
"15","Adrian Peterson","rb",222.175,36.5645427999924
"16","Calvin Johnson","wr",149.53,35.4644402898937
"17","Demaryius Thomas","wr",147.28,34.4156137442487
"18","Jimmy Graham","te",136.415,34.2221635147186
"19","Jay Cutler","qb",328.334,33.1546911638177
"20","Matt Forte","rb",214.55,33.0101861730844
"21","Russell Wilson","qb",324.342,31.2938397992778
"22","Philip Rivers","qb",323.514,30.9078716304805
"23","Ben Roethlisberger","qb",320.282,29.4012905658029
"24","Eddie Lacy","rb",205.49,28.7869112826207
"25","Julio Jones","wr",132.785,27.6588400646381
"26","Dez Bryant","wr",132.5,27.5259887021897
"27","A.J. Green","wr",128.76,25.7826059107621
"28","Brandon Marshall","wr",127.405,25.1509792577181
"29","Marshawn Lynch","rb",194.285,23.5637550853087
"30","Jordy Nelson","wr",122.33,22.7852927158745
"31","Andy Dalton","qb",305.508,22.5144623945324
"32","Julius Thomas","te",111.29,22.5102670883498
"33","Alshon Jeffery","wr",120.925,22.1303588062606
"34","Montee Ball","rb",189.75,21.4497869144199
"35","DeMarco Murray","rb",187.68,20.4848664924265
"36","Alfred Morris","rb",186.91,20.1259347412502
"37","Antonio Brown","wr",116.37,20.0070677327438
"38","Le'Veon Bell","rb",186.64,20.0000755557728
"39","Doug Martin","rb",184.775,19.130714885716
"40","Rob Gronkowski","te",102.785,18.5457027458118
"41","Randall Cobb","wr",113.055,18.4617966221602
"42","Carson Palmer","qb",296.804,18.4571351708462
"43","Arian Foster","rb",183.255,18.4221742859914
"44","Zac Stacy","rb",181.435,17.5737901468475
"45","Vernon Davis","te",98.325,16.4666954597778
"46","Larry Fitzgerald","wr",108.44,16.3105368407595
"47","Ryan Tannehill","qb",291.038,15.7693423432067
"48","Vincent Jackson","wr",106.935,15.6089884180059
"49","Giovani Bernard","rb",175.75,14.9237550748512
"50","Alex Smith","qb",288.374,14.5275317131631
"51","Cordarrelle Patterson","wr",104.19,14.329420032319
"52","Michael Crabtree","wr",102.475,13.5299811319719
"53","Keenan Allen","wr",101.67,13.1547343011967
"54","Toby Gerhart","rb",170.75,12.5930294178624
"55","Wes Welker","wr",99.515,12.1501915430345
"56","Andre Johnson","wr",99.155,11.9823792957313
"57","Percy Harvin","wr",98.77,11.8029134201432
"58","Pierre Garcon","wr",95.925,10.4767305213165
"59","Roddy White","wr",95.485,10.2716266635015
"60","Michael Floyd","wr",95.37,10.2180199733908
"61","Victor Cruz","wr",94.99,10.0408848234596
"62","Sam Bradford","qb",278.028,9.70479418372183
"63","DeSean Jackson","wr",92.895,9.06431077318131
"64","Joe Flacco","qb",276.426,8.95802968322262
"65","Eli Manning","qb",275.8,8.66622283096758
"66","Jason Witten","te",81.545,8.64478015492332
"67","Bishop Sankey","rb",161.115,8.10172107684493
"68","Ryan Mathews","rb",160.04,7.60061506059234
"69","Torrey Smith","wr",89.65,7.55166982179557
"70","Dennis Pitta","te",78.79,7.36055031792247
"71","Jordan Cameron","te",78.4,7.17875371667735
"72","Frank Gore","rb",158.265,6.77320745236131
"73","Jordan Reed","te",77.14,6.59141085111617
"74","Jeremy Maclin","wr",87.145,6.38397626764417
"75","Kyle Rudolph","te",76.435,6.26277853348075
"76","Andre Ellington","rb",156.35,5.8805395257346
"77","Mike Wallace","wr",86.065,5.88053952573458
"78","Ty Hilton","wr",85.48,5.6078446238669
"79","Emmanuel Sanders","wr",85.17,5.46333963313359
"80","Julian Edelman","wr",85.035,5.40041004039489
"81","Marques Colston","wr",84.785,5.28387375754545
"82","Greg Olsen","te",73.835,5.05080119184656
"83","Golden Tate","wr",84.225,5.0228324839627
"84","C.J. Spiller","rb",151.145,3.45425411680923
"85","Eric Decker","wr",80.235,3.16291340968563
"86","Terrance Williams","wr",79.4,2.77368222496849
"87","Stevan Ridley","rb",149.235,2.56391691583951
"88","Zach Ertz","te",68.24,2.44271918167607
"89","Sammy Watkins","wr",78.63,2.41475047379222
"90","Kendall Wright","wr",78.155,2.19333153637828
"91","Rashad Jennings","rb",147.87,1.92762881148155
"92","Trent Richardson","rb",146.24,1.1678122473032
"93","Josh McCown","qb",259.354,1
"94","Ray Rice","rb",145.88,1
"95","Tavon Austin","wr",75.595,1
"96","Martellus Bennett","te",65.145,1
